"filename", "language", "HTML", "PHP", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ugbusiness\ugbusiness\.github\workflows\deploycPanel.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 1, 29
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\cache\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\autoload.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 118, 9, 136
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\config.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 450, 34, 541
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\constants.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 56, 5, 86
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\database.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 73, 11, 120
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\doctypes.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\foreign_chars.php", "PHP", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 115
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\hooks.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 14
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\memcached.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 20
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\migration.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 70, 7, 85
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\mimes.php", "PHP", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 187
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\profiler.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 15
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\routes.php", "PHP", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 48, 53, 256
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\smileys.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 65
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\config\user_agents.php", "PHP", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 30, 11, 223
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Abonelik.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Anasayfa.php", "PHP", 0, 428, 0, 0, 0, 0, 0, 0, 0, 0, 7, 127, 562
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Anket.php", "PHP", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 162
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Api.php", "PHP", 0, 677, 0, 0, 0, 0, 0, 0, 0, 0, 51, 216, 944
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Arac.php", "PHP", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 327
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Ariza.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 81
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Arvento.php", "PHP", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68, 204
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Atis.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
